Image Name,background,building,road,water,barren,forest,agriculture
1,0.98982177734375,0.0,0.0,0.0,0.0101416015625,0.0,0.0
10,0.509765625,0.0,0.0,0.0,0.028466796875,0.0,0.0
100,0.6247412109375,0.0,0.12728271484375,0.0,0.0,0.0,0.0
1000,0.95313720703125,0.0,0.0162255859375,0.0,0.000810546875,0.0,0.0
1001,0.569482421875,0.0,0.2370361328125,0.0,0.00588134765625,0.0,0.0
1002,0.81780517578125,0.0,0.1463916015625,0.0,0.001484375,0.0,0.0
1003,0.825029296875,0.0,0.000166015625,0.0,0.0001123046875,0.0,0.0
1004,0.8339111328125,0.0,0.1149755859375,0.0,0.00867431640625,0.0,0.0
1005,0.96267822265625,0.0,1.46484375e-05,0.0,0.000947265625,0.0,0.0
1006,0.6421484375,0.0,0.011201171875,0.0,0.00018798828125,0.0,0.0
1007,0.99333251953125,0.0,0.0022119140625,0.0,0.00063232421875,0.0,0.0
1008,0.9902685546875,0.0,0.00345947265625,0.0,0.0,0.0,0.0
1009,0.64556884765625,0.0,0.19826416015625,0.0,0.0,0.0,0.0
101,0.8743408203125,0.0,0.00284912109375,0.0,0.009814453125,0.0,0.0
1010,0.5548974609375,0.0,0.37330810546875,0.0,1.708984375e-05,0.0,0.0
1011,0.3106884765625,0.0,0.379365234375,0.0,0.00222900390625,0.0,0.0
1012,0.96142822265625,0.0,0.0001318359375,0.0,0.02364013671875,0.0,0.0
1013,0.60808837890625,0.0,0.286689453125,0.0,0.0005712890625,0.0,0.0
1014,0.80885498046875,0.0,0.15340087890625,0.0,0.00024658203125,0.0,0.0
1015,0.23519287109375,0.0,0.06885986328125,0.0,0.0,0.0,0.0
1016,0.9365087890625,0.0,0.0299267578125,0.0,0.0006396484375,0.0,0.0
1017,0.83140625,0.0,0.0128759765625,0.0,1.220703125e-05,0.0,0.0
1018,0.6295556640625,0.0,0.157314453125,0.0,0.0317138671875,0.0,0.0
1019,0.98680908203125,0.0,0.01077880859375,0.0,0.0,0.0,0.0
102,0.79671142578125,0.0,0.000654296875,0.0,0.03592529296875,0.0,0.0
1020,0.6081591796875,0.0,0.01915283203125,0.0,0.017216796875,0.0,0.0
1021,0.9976416015625,0.0,0.0,0.0,0.0010595703125,0.0,0.0
1022,0.27104248046875,0.0,0.6159619140625,0.0,0.0,0.0,0.0
1023,0.76083740234375,0.0,0.10717041015625,0.0,0.01649169921875,0.0,0.0
1024,0.32307861328125,0.0,0.51716064453125,0.0,8.544921875e-05,0.0,0.0
1025,0.67141845703125,0.0,0.02825439453125,0.0,0.01826416015625,0.0,0.0
1026,0.7829833984375,0.0,0.00819580078125,0.0,0.0015966796875,0.0,0.0
1027,0.68009765625,0.0,0.1433984375,0.0,3.662109375e-05,0.0,0.0
1028,0.56321044921875,0.0,0.2877001953125,0.0,0.0036962890625,0.0021142578125,0.0
1029,0.8540625,0.000732421875,0.014921875,0.0,0.0118359375,0.0,0.0
103,0.766572265625,0.0,0.00326171875,0.0,0.00137451171875,0.0,0.0
1030,0.97694091796875,0.0,0.00296142578125,0.0,0.0070166015625,0.0,0.0
1031,0.86020751953125,9.765625e-06,3.662109375e-05,0.0,0.03234619140625,0.0,0.0
1032,0.8697412109375,0.0,0.0239013671875,0.0,4.150390625e-05,0.0,0.0
1033,0.7134521484375,0.0,0.0074267578125,0.0,0.0051611328125,0.0,0.0
1034,0.60520751953125,0.0,0.2823583984375,0.0,0.0013134765625,0.0,0.0
1035,0.59873046875,0.0,0.244033203125,0.0,0.0,0.0,0.0
1036,0.64846435546875,0.0,0.252431640625,0.0,0.0033837890625,0.0,0.0
1037,0.7967578125,0.00124755859375,0.00032958984375,0.0,0.05822021484375,0.0,0.0
1038,0.58454833984375,0.0,0.17167236328125,0.0,0.0,0.0,0.0
1039,0.92245849609375,0.0,0.00105712890625,0.0,0.0,0.0,0.0
104,0.803115234375,0.0,6.103515625e-05,0.0,0.03040771484375,0.0,0.0
1040,0.84250244140625,0.0,0.0993798828125,0.0,0.00225830078125,0.0,0.0
1041,0.6216162109375,0.0,0.3215869140625,0.0,0.00553466796875,0.0,0.0
1042,0.98851318359375,0.0,0.00064453125,0.0,0.00980712890625,0.0,0.0
1043,0.7147119140625,9.765625e-06,0.15580078125,0.0,0.00085205078125,0.0,0.0
1044,0.77654541015625,0.0,0.112392578125,0.0,0.00049560546875,0.00363525390625,0.0
1045,0.3675,0.0,0.417470703125,0.0,0.0,0.0,0.0
1046,0.79612548828125,0.0,0.0144140625,0.0,0.0038525390625,0.0,0.0
1047,0.5738720703125,0.0,0.32584228515625,0.0,0.0019091796875,0.0,0.0
1048,0.51752197265625,0.0,0.4132470703125,0.0,0.0,0.0,0.0
1049,0.443154296875,0.0,0.5230810546875,0.0,0.0,0.0,0.0
105,0.94278564453125,0.0,0.00300537109375,0.0,9.765625e-06,0.0,0.0
1050,0.73867919921875,0.0,0.0962890625,0.0,0.00130126953125,0.0,0.0
1051,0.89862548828125,0.0,0.0201220703125,0.0,0.00544921875,0.0,0.0
1052,0.67597412109375,0.0,0.29025146484375,0.0,0.00580078125,0.0039013671875,0.0
1053,0.9796826171875,0.0,0.00349609375,0.0,0.00011962890625,0.0,0.0
1054,0.89957763671875,0.0,0.07060791015625,0.0,0.00652099609375,0.0,0.0
1055,0.8180859375,0.0,0.0,0.0,0.02666015625,0.0,0.0
1056,0.68416259765625,0.0,0.09780029296875,0.0,0.00638671875,0.0,0.0
1057,0.64399658203125,0.0,0.0103125,0.0,0.0226220703125,0.0,0.0
1058,0.77642578125,0.0,0.153271484375,0.0,0.0021435546875,0.0,0.0
1059,0.41179931640625,0.0,0.45509765625,0.0,0.0,0.0,0.0
106,0.9701708984375,0.000224609375,0.01694091796875,0.0,0.0011181640625,0.0,0.0
1060,0.65409423828125,4.8828125e-05,0.25803955078125,0.0,0.00029296875,0.0,0.0
1061,0.51006591796875,0.0,0.32037353515625,0.0,0.00203125,0.0,0.0
1062,0.97331787109375,0.0,0.0,0.0,0.0266748046875,0.0,0.0
1063,0.5097802734375,0.0,0.4431494140625,0.0,0.0,0.0,0.0
1064,0.83564208984375,0.0,0.00062255859375,0.0,0.00609375,0.0,0.0
1065,0.9886669921875,0.0,0.003525390625,0.0,0.0,0.0,0.0
1066,0.94194091796875,0.0,0.01716064453125,0.0,7.32421875e-05,0.0,0.0
1067,0.62646728515625,0.0,0.072900390625,0.0,0.01286865234375,0.0,0.0
1068,0.95181396484375,0.0,0.0152099609375,0.0,9.765625e-06,0.0,0.0
1069,0.66503662109375,0.0,0.1766455078125,0.0,0.0,0.0,0.0
107,0.91858154296875,0.0,0.05118408203125,0.0,0.00288330078125,0.0,0.0
1070,0.491083984375,0.0,0.12667724609375,0.0,4.8828125e-05,0.0,0.0
1071,0.45531982421875,0.0,0.07485107421875,0.0,0.01291259765625,0.0,0.0
1072,0.36529052734375,0.0,0.41834228515625,0.0,0.0,0.0,0.0
1073,0.5222265625,0.0,0.29748291015625,0.0,0.00094970703125,0.0,0.0
1074,0.990537109375,0.0,0.00544677734375,0.0,0.00286376953125,0.0,0.0
1075,0.97793212890625,0.0,0.0009765625,0.000166015625,0.0,0.0,0.0
1076,0.68109130859375,0.0,0.0,0.0,0.00279541015625,0.0,0.0
1077,0.98846435546875,0.0,0.01134521484375,0.0,5.126953125e-05,0.0,0.0
1078,0.99509765625,0.0,0.0,0.003662109375,0.0,0.0,0.0
